Epoch 0010 | RMSE=80.83 mL  MAE=59.26 mL  R²=0.065  valid=1439/1439
Epoch 0020 | RMSE=44.90 mL  MAE=31.53 mL  R²=0.671  valid=1439/1439
Epoch 0030 | RMSE=63.78 mL  MAE=57.15 mL  R²=0.337  valid=1439/1439
Epoch 0040 | RMSE=34.93 mL  MAE=25.92 mL  R²=0.801  valid=1439/1439
Epoch 0050 | RMSE=30.20 mL  MAE=22.65 mL  R²=0.851  valid=1439/1439
Epoch 0060 | RMSE=29.52 mL  MAE=22.08 mL  R²=0.858  valid=1439/1439
Epoch 0070 | RMSE=49.58 mL  MAE=41.48 mL  R²=0.599  valid=1439/1439
Epoch 0080 | RMSE=33.18 mL  MAE=23.61 mL  R²=0.821  valid=1439/1439
Epoch 0090 | RMSE=35.47 mL  MAE=27.10 mL  R²=0.795  valid=1439/1439
Epoch 0100 | RMSE=30.37 mL  MAE=22.01 mL  R²=0.850  valid=1439/1439
